id;nombre;categoria;compra;venta
P001;7up;Bebidas;0.82;1.2
P002;Alfajor;Pasteles;0.59;1
P003;Alka 28g;Masticables;1.5;1.5
P004;Barrilete 8g;Masticables;0.25;0.25
P005;BigBen 4g;Masticables;0.1;0.1
P006;BigBen 5.5g;Masticables;0.2;0.2
P007;BigBen barra 36g;Chocolates;2;2
P008;BlackOut 60g;Galletas;0.75;1.3
P009;Bon o Bon Chocolinas 15g;Chocolates;0.81;1
P010;Bon o Bon Leche 15g;Chocolates;0.81;1
P011;Boogie caja 13.6g;Masticables;1.5;1.5
P012;Canonazo 19g;Chocolates;1;1
P013;Casino 43g;Galletas;0.8;1.2
P014;Charada 36g;Galletas;1;1
P015;Cheetos 34g;Piqueos;1.28;1.7
P016;Cheetos picante 34g;Piqueos;1.28;1.7
P017;Chicle Bolita;Masticables;0.25;0.25
P018;Chicle Chiste 4g;Masticables;0.1;0.1
P019;Chinchin bolsa 16g;Chocolates;1;1
P020;Chinchin caja 30g;Chocolates;2;2
P021;Chips Ahoy 37g;Galletas;1.14;1.5
P022;Chizitos 35g;Piqueos;0.83;1.2
P023;Choco Chips 34g;Galletas;0.67;1
P024;Choco Donuts;Galletas;1;1
P025;Choco Punch 13g;Chocolates;0.57;1
P026;Choco Soda 36g;Galletas;1.12;1.5
P027;Chupetin;Masticables;0.27;0.7
P028;Cielo 625ml;Bebidas;0.77;1.5
P029;Cielo chupon 1lt;Bebidas;1.75;3
P030;Coca Kola 300ml;Bebidas;1.47;2
P031;Coca Kola 600ml;Bebidas;2.72;3.5
P032;Concordia 355;Bebidas;1.2;1.2
P033;Coronita 36g;Galletas;1;1
P034;Cua Cua 18g;Galletas;0.72;1
P035;Cuates picante 42g;Piqueos;0.83;1.2
P036;Dona Pepa 23g;Galletas;0.8;1
P037;Doritos;Piqueos;2.2;2.2
P038;Fanta 500ml;Bebidas;1.92;2.5
P039;Free Tea 500ml;Bebidas;2.5;2.5
P040;Full 22.5g;Masticables;1;1
P041;Full 22.5g;Masticables;1;1
P042;Gansito;Pasteles;2.5;2.5
P043;Gatorade 500ml;Bebidas;1.84;2.5
P044;Grosso;Masticables;0.17;0.25
P045;Halls 25.2g;Masticables;1.17;1.5
P046;Halls 3g;Masticables;0.2;0.2
P047;Inka Kola 300ml;Bebidas;1.47;2
P048;Inka Kola 600ml;Bebidas;2.72;3.5
P049;Lay's Clasica 39g;Piqueos;1.7;2.2
P050;Lentejas caja 30g;Chocolates;2;2
P051;Loa 625ml;Bebidas;0.79;1.2
P052;Loa sabores 625ml;Bebidas;1.01;1.5
P053;Mecano 19g;Chocolates;1;1
P054;Mini Chips Ahoy 50g;Galletas;1.26;2
P055;Mini Cuacua;Galletas;1.29;2
P056;Mini Fruit Bites;Masticables;0.25;0.25
P057;Mini Travesuras;Galletas;1.29;2
P058;Mogul 35g;Masticables;0.96;1.5
P059;Morochas 30g;Galletas;0.84;1.2
P060;Morochas snack 42g;Galletas;1.27;2
P061;Morochas taco 75g;Galletas;2.1;2.5
P062;Next 14g;Masticables;1;1
P063;Next 30.8g;Masticables;1.5;1.5
P064;Nik chica 27g;Galletas;0.59;1
P065;Nik grande 72g;Galletas;1.17;2
P066;Oreo chico 36g;Galletas;0.8;1
P067;Oreo taco 108g;Galletas;2.2;3
P068;Papas Onda picante 37g;Piqueos;2.2;2.2
P069;Papel Suave Chica;Higiene;0.73;1.2
P070;Pepsi 355ml;Bebidas;0.82;1.5
P071;Pepsi 600ml;Bebidas;2;2
P072;Pepsi 750ml;Bebidas;2.5;2.5
P073;Picaras 38g;Galletas;0.97;1.3
P074;Pinguinos 80g;Pasteles;2.67;3.5
P075;Piqueo Snax 55g;Piqueos;2.4;2.4
P076;Princesa 28g;Chocolates;2.14;2.8
P077;Pulp caja 250ml;Bebidas;1.5;1.5
P078;Queque;Pasteles;0.79;1.2
P079;Ritz chica 20g;Galletas;0.77;1
P080;Ritz Taco 70g;Galletas;2;2
P081;San Carlos 500ml;Bebidas;0.54;1
P082;San Carlos 750ml;Bebidas;1.5;1.5
P083;San Luis chupon 1lt;Bebidas;2.23;3
P084;Soda Field 32g;Galletas;0.59;1
P085;Soda V 35g;Galletas;0.5;1
P086;Sporade 500ml;Bebidas ;1.75;2.5
P087;Sublime Blanco 38g;Chocolates;2.47;3
P088;Sublime Sonrisa 37g;Chocolates;2.55;3
P089;Toalla Nocturna;Higiene;0.83;1.5
P090;Toalla Normal;Higiene;0.3;1
P091;Triangulo 30g;Chocolates;1.63;2.5
P092;Trident 5.2g;Masticables;0.33;0.5
P093;Trident 8.5g;Masticables;1.17;1.5
P094;Trululu gomitas 80g;Masticables;3;3
P095;Trululu sabores 30g;Masticables;0.77;1.5
P096;Vainilla Field 37g;Galletas;1.2;1.2
P097;Vizzio 19.2g;Chocolates;1.15;1.7
P098;Volt 300ml;Bebidas;1.84;2.5
